NAME,GEOID,ET
Grand Forks,38035,177.1031946
Stutsman,38093,177.7703563
Sioux,38085,168.5259401
Morton,38059,166.1871137
Burleigh,38015,183.8378153
Oliver,38065,170.9439409
Ward,38101,159.8689832
McHenry,38049,163.5979152
Renville,38075,159.8022091
Williams,38105,145.0017051
Stark,38089,155.422265
Cass,38017,179.2558191
Richland,38077,192.8878447
Pembina,38067,168.9216737
Walsh,38099,167.8808189
Cavalier,38019,171.0702042
Towner,38095,162.9144491
Ramsey,38071,153.247027
Nelson,38063,170.6056865
Benson,38005,156.584295
Eddy,38027,176.3240686
Griggs,38039,175.2875691
Steele,38091,176.969766
Foster,38031,181.588523
Barnes,38003,174.1232686
Traill,38097,176.0035717
Sargent,38081,189.1979846
Dickey,38021,187.2956215
LaMoure,38045,181.6779812
Ransom,38073,189.1287979
Logan,38047,181.8731822
Kidder,38043,183.7545802
McIntosh,38051,183.6797811
Grant,38037,162.7906797
Emmons,38029,180.3841186
McLean,38055,166.7096511
Mercer,38057,161.0902863
Mountrail,38061,158.514387
Sheridan,38083,169.3779049
Wells,38103,171.705081
Pierce,38069,153.6022348
Rolette,38079,165.3140052
Bottineau,38009,161.6861533
Burke,38013,148.4328261
Divide,38023,137.6931032
McKenzie,38053,138.6097429
Billings,38007,136.2593492
Golden Valley,38033,145.8926591
Slope,38087,152.2437287
Dunn,38025,148.7950186
Hettinger,38041,158.6426405
Adams,38001,164.3276873
Bowman,38011,157.7474642
