NAME,GEOID,PA
Grand Forks,38035,2.530415334
Stutsman,38093,1.835190437
Sioux,38085,1.659042061
Morton,38059,1.415703678
Burleigh,38015,1.386747201
Oliver,38065,1.337075568
Ward,38101,1.536159596
McHenry,38049,1.659971734
Renville,38075,1.581514961
Williams,38105,1.176191931
Stark,38089,1.674624176
Cass,38017,2.872889955
Richland,38077,2.886534864
Pembina,38067,2.441439279
Walsh,38099,2.45974447
Cavalier,38019,2.045881251
Towner,38095,2.100206236
Ramsey,38071,2.179273452
Nelson,38063,2.259744666
Benson,38005,2.32389158
Eddy,38027,1.767955868
Griggs,38039,2.167782182
Steele,38091,2.127916958
Foster,38031,1.918180489
Barnes,38003,2.856474336
Traill,38097,2.602929967
Sargent,38081,2.593046712
Dickey,38021,2.610422639
LaMoure,38045,2.147386524
Ransom,38073,2.958520299
Logan,38047,1.824279875
Kidder,38043,1.593493956
McIntosh,38051,1.689610037
Grant,38037,1.539844559
Emmons,38029,1.488891953
McLean,38055,1.483713149
Mercer,38057,1.583728577
Mountrail,38061,1.448405233
Sheridan,38083,1.630630092
Wells,38103,1.546676945
Pierce,38069,1.781438453
Rolette,38079,1.573980035
Bottineau,38009,1.77083616
Burke,38013,1.237119378
Divide,38023,1.149273004
McKenzie,38053,1.043651123
Billings,38007,1.456896629
Golden Valley,38033,1.508040808
Slope,38087,1.590626286
Dunn,38025,1.817544581
Hettinger,38041,1.493306316
Adams,38001,1.454114306
Bowman,38011,1.815293553
