NAME,GEOID,SMS_PM
Grand Forks,38035,0.222442693
Stutsman,38093,0.271742098
Sioux,38085,0.158890041
Morton,38059,0.151407678
Burleigh,38015,0.206327151
Oliver,38065,0.166651668
Ward,38101,0.213170273
McHenry,38049,0.207010322
Renville,38075,0.201324879
Williams,38105,0.146248223
Stark,38089,0.144290141
Cass,38017,0.229911968
Richland,38077,0.22002439
Pembina,38067,0.201763387
Walsh,38099,0.212924463
Cavalier,38019,0.199711211
Towner,38095,0.237304104
Ramsey,38071,0.277026241
Nelson,38063,0.262980848
Benson,38005,0.271506192
Eddy,38027,0.255367525
Griggs,38039,0.2543556
Steele,38091,0.227645676
Foster,38031,0.254608972
Barnes,38003,0.26042024
Traill,38097,0.231385672
Sargent,38081,0.258141528
Dickey,38021,0.263203213
LaMoure,38045,0.260095376
Ransom,38073,0.246849154
Logan,38047,0.258531169
Kidder,38043,0.273552238
McIntosh,38051,0.249946035
Grant,38037,0.139464926
Emmons,38029,0.185772508
McLean,38055,0.192187116
Mercer,38057,0.1531324
Mountrail,38061,0.19838628
Sheridan,38083,0.249482897
Wells,38103,0.238928999
Pierce,38069,0.23767649
Rolette,38079,0.242764266
Bottineau,38009,0.210174321
Burke,38013,0.18896393
Divide,38023,0.175960502
McKenzie,38053,0.129923268
Billings,38007,0.144720733
Golden Valley,38033,0.142182126
Slope,38087,0.145580803
Dunn,38025,0.149274579
Hettinger,38041,0.139193961
Adams,38001,0.136967863
Bowman,38011,0.141051591
