NAME,GEOID,NDVI
Grand Forks,38035,6057.105292251191
Stutsman,38093,6096.212419836056
Sioux,38085,5216.764268180319
Morton,38059,5689.075605779205
Burleigh,38015,5825.972851044255
Oliver,38065,5936.137690601624
Ward,38101,5975.117431362359
McHenry,38049,6092.841396458981
Renville,38075,5940.557074593335
Williams,38105,5055.8375599505935
Stark,38089,5181.334683830202
Cass,38017,6344.085774866526
Richland,38077,6227.590694509613
Pembina,38067,6484.198371780392
Walsh,38099,6344.708678173982
Cavalier,38019,6245.635420127291
Towner,38095,6144.623282666996
Ramsey,38071,5987.546819488307
Nelson,38063,6010.167225143848
Benson,38005,6184.428182401541
Eddy,38027,6175.713820578781
Griggs,38039,6096.937146896742
Steele,38091,6061.615720934892
Foster,38031,6118.302507141953
Barnes,38003,6134.96948997395
Traill,38097,6181.8848451434
Sargent,38081,6207.109818134935
Dickey,38021,6226.0765385359055
LaMoure,38045,6217.170271544894
Ransom,38073,6417.000066365471
Logan,38047,5720.18325937866
Kidder,38043,5812.091379103511
McIntosh,38051,5978.829468940337
Grant,38037,5179.925019128263
Emmons,38029,5710.810469953098
McLean,38055,5833.366475636757
Mercer,38057,5728.647074807097
Mountrail,38061,5594.384520422139
Sheridan,38083,5901.500426131529
Wells,38103,6209.834000596153
Pierce,38069,6048.334587837631
Rolette,38079,6189.897170168657
Bottineau,38009,6016.797293925562
Burke,38013,5941.365711684675
Divide,38023,5306.582050634793
McKenzie,38053,4665.909535893986
Billings,38007,5174.323961688422
Golden Valley,38033,5050.705823771092
Slope,38087,5341.69654444069
Dunn,38025,5252.426695663226
Hettinger,38041,5024.8473425904185
Adams,38001,4891.569169963502
Bowman,38011,4962.596441499528
