NAME,GEOID,PAR
Grand Forks,38035,25.21902894
Stutsman,38093,21.89768836
Sioux,38085,17.18883139
Morton,38059,17.35185893
Burleigh,38015,18.9148943
Oliver,38065,17.60320258
Ward,38101,17.5784355
McHenry,38049,19.06732221
Renville,38075,17.84740337
Williams,38105,16.32361104
Stark,38089,15.59808793
Cass,38017,24.52988209
Richland,38077,25.53181692
Pembina,38067,26.86121928
Walsh,38099,25.92207682
Cavalier,38019,24.11050043
Towner,38095,22.7976126
Ramsey,38071,23.55163561
Nelson,38063,24.11877256
Benson,38005,21.53684052
Eddy,38027,22.26081103
Griggs,38039,23.45692673
Steele,38091,24.15591813
Foster,38031,21.9283551
Barnes,38003,23.32190288
Traill,38097,25.49026865
Sargent,38081,23.73299013
Dickey,38021,21.76794509
LaMoure,38045,21.87830561
Ransom,38073,23.64068659
Logan,38047,19.96112222
Kidder,38043,20.35869254
McIntosh,38051,19.83663875
Grant,38037,16.29232485
Emmons,38029,18.76703648
McLean,38055,17.6189324
Mercer,38057,17.20186387
Mountrail,38061,16.59702503
Sheridan,38083,19.34382527
Wells,38103,20.56520349
Pierce,38069,20.71447973
Rolette,38079,21.87987247
Bottineau,38009,19.59835133
Burke,38013,17.07072109
Divide,38023,16.95736257
McKenzie,38053,15.46631693
Billings,38007,14.94353472
Golden Valley,38033,14.03272111
Slope,38087,14.79483762
Dunn,38025,15.6513545
Hettinger,38041,15.74411477
Adams,38001,15.3213265
Bowman,38011,14.57714664
