NAME,GEOID,SAR
Grand Forks,38035,-11.41638975
Stutsman,38093,-11.32220928
Sioux,38085,-11.87220124
Morton,38059,-11.70456198
Burleigh,38015,-11.75470615
Oliver,38065,-11.77911444
Ward,38101,-11.69074788
McHenry,38049,-11.91032965
Renville,38075,-11.56728991
Williams,38105,-12.05093193
Stark,38089,-12.10534569
Cass,38017,-10.35558256
Richland,38077,-10.46631694
Pembina,38067,-11.14332595
Walsh,38099,-11.38920339
Cavalier,38019,-11.85532788
Towner,38095,-12.22942724
Ramsey,38071,-11.98802116
Nelson,38063,-11.73672122
Benson,38005,-12.04987075
Eddy,38027,-11.32960098
Griggs,38039,-11.43813012
Steele,38091,-11.21621653
Foster,38031,-10.85336815
Barnes,38003,-11.06895256
Traill,38097,-10.773618
Sargent,38081,-10.93118176
Dickey,38021,-11.10308906
LaMoure,38045,-10.89842485
Ransom,38073,-11.02302412
Logan,38047,-11.94921296
Kidder,38043,-11.86520346
McIntosh,38051,-11.52730105
Grant,38037,-12.04677902
Emmons,38029,-11.82162762
McLean,38055,-11.6628867
Mercer,38057,-11.93252529
Mountrail,38061,-11.73081172
Sheridan,38083,-11.48779578
Wells,38103,-11.4924762
Pierce,38069,-12.09924964
Rolette,38079,-12.05201592
Bottineau,38009,-11.87946646
Burke,38013,-12.05027468
Divide,38023,-12.41542969
McKenzie,38053,-12.0879685
Billings,38007,-12.4889046
Golden Valley,38033,-13.81611448
Slope,38087,-11.69700872
Dunn,38025,-12.70540185
Hettinger,38041,-11.95093252
Adams,38001,-12.15196892
Bowman,38011,-12.26848431
